dimacs_file,solver,grammar,word,word_length,positive_or_negative,nonterminal_count,rule_count,singular_rule_count,double_rule_count,bool_variable_count,base_bool_variable_count,tseitin_variable_count,clause_count,fixed_value_clause_count,tseitin_clause_count,window_clause_count,status,result,time_ms
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w1.cnf,pysat:g3,1,type id = Integer ; var procedure id ( ) type id = Integer ; begin konšt_char := konšt_real * - not konšt_boolean / konšt_real + konšt_int ; end,29,positive,180,324,95,229,1008040,78300,929740,2867521,18619,2789220,59682,ok,SAT,1643.319
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w1.cnf,pysat:g4,1,type id = Integer ; var procedure id ( ) type id = Integer ; begin konšt_char := konšt_real * - not konšt_boolean / konšt_real + konšt_int ; end,29,positive,180,324,95,229,1008040,78300,929740,2867521,18619,2789220,59682,ok,SAT,2366.172
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w1.cnf,pysat:gc3,1,type id = Integer ; var procedure id ( ) type id = Integer ; begin konšt_char := konšt_real * - not konšt_boolean / konšt_real + konšt_int ; end,29,positive,180,324,95,229,1008040,78300,929740,2867521,18619,2789220,59682,ok,SAT,2172.589
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w1.cnf,pysat:gc4,1,type id = Integer ; var procedure id ( ) type id = Integer ; begin konšt_char := konšt_real * - not konšt_boolean / konšt_real + konšt_int ; end,29,positive,180,324,95,229,1008040,78300,929740,2867521,18619,2789220,59682,ok,SAT,2136.759
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w1.cnf,pysat:m22,1,type id = Integer ; var procedure id ( ) type id = Integer ; begin konšt_char := konšt_real * - not konšt_boolean / konšt_real + konšt_int ; end,29,positive,180,324,95,229,1008040,78300,929740,2867521,18619,2789220,59682,ok,SAT,1741.533
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w1.cnf,pysat:mc,1,type id = Integer ; var procedure id ( ) type id = Integer ; begin konšt_char := konšt_real * - not konšt_boolean / konšt_real + konšt_int ; end,29,positive,180,324,95,229,1008040,78300,929740,2867521,18619,2789220,59682,ok,SAT,2506.258
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w1.cnf,pysat:mgh,1,type id = Integer ; var procedure id ( ) type id = Integer ; begin konšt_char := konšt_real * - not konšt_boolean / konšt_real + konšt_int ; end,29,positive,180,324,95,229,1008040,78300,929740,2867521,18619,2789220,59682,ok,SAT,2244.992
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w1.cnf,pycryptosat,1,type id = Integer ; var procedure id ( ) type id = Integer ; begin konšt_char := konšt_real * - not konšt_boolean / konšt_real + konšt_int ; end,29,positive,180,324,95,229,1008040,78300,929740,2867521,18619,2789220,59682,ok,SAT,1166.199
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w2.cnf,pysat:g3,1,type id = Char ; procedure id ( ) type id = Integer ; var begin not konšt_real - konšt_char := konšt_int > not id <> - konšt_int ; end,30,positive,180,324,95,229,1113055,83700,1029355,3171766,19756,3088065,63945,ok,SAT,2070.454
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w2.cnf,pysat:g4,1,type id = Char ; procedure id ( ) type id = Integer ; var begin not konšt_real - konšt_char := konšt_int > not id <> - konšt_int ; end,30,positive,180,324,95,229,1113055,83700,1029355,3171766,19756,3088065,63945,ok,SAT,2102.255
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w2.cnf,pysat:gc3,1,type id = Char ; procedure id ( ) type id = Integer ; var begin not konšt_real - konšt_char := konšt_int > not id <> - konšt_int ; end,30,positive,180,324,95,229,1113055,83700,1029355,3171766,19756,3088065,63945,ok,SAT,2333.553
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w2.cnf,pysat:gc4,1,type id = Char ; procedure id ( ) type id = Integer ; var begin not konšt_real - konšt_char := konšt_int > not id <> - konšt_int ; end,30,positive,180,324,95,229,1113055,83700,1029355,3171766,19756,3088065,63945,ok,SAT,2232.523
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w2.cnf,pysat:m22,1,type id = Char ; procedure id ( ) type id = Integer ; var begin not konšt_real - konšt_char := konšt_int > not id <> - konšt_int ; end,30,positive,180,324,95,229,1113055,83700,1029355,3171766,19756,3088065,63945,ok,SAT,1924.473
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w2.cnf,pysat:mc,1,type id = Char ; procedure id ( ) type id = Integer ; var begin not konšt_real - konšt_char := konšt_int > not id <> - konšt_int ; end,30,positive,180,324,95,229,1113055,83700,1029355,3171766,19756,3088065,63945,ok,SAT,2236.441
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w2.cnf,pysat:mgh,1,type id = Char ; procedure id ( ) type id = Integer ; var begin not konšt_real - konšt_char := konšt_int > not id <> - konšt_int ; end,30,positive,180,324,95,229,1113055,83700,1029355,3171766,19756,3088065,63945,ok,SAT,1870.470
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w2.cnf,pycryptosat,1,type id = Char ; procedure id ( ) type id = Integer ; var begin not konšt_real - konšt_char := konšt_int > not id <> - konšt_int ; end,30,positive,180,324,95,229,1113055,83700,1029355,3171766,19756,3088065,63945,ok,SAT,1530.759
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w3.cnf,pysat:g3,1,type id = Char ; procedure id ( ) type id = Integer ; begin konšt_boolean + konšt_char := id > - konšt_char + konšt_boolean ; end,27,positive,180,324,95,229,818244,68040,750204,2318653,16444,2250612,51597,ok,SAT,1667.662
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w3.cnf,pysat:g4,1,type id = Char ; procedure id ( ) type id = Integer ; begin konšt_boolean + konšt_char := id > - konšt_char + konšt_boolean ; end,27,positive,180,324,95,229,818244,68040,750204,2318653,16444,2250612,51597,ok,SAT,1596.071
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w3.cnf,pysat:gc3,1,type id = Char ; procedure id ( ) type id = Integer ; begin konšt_boolean + konšt_char := id > - konšt_char + konšt_boolean ; end,27,positive,180,324,95,229,818244,68040,750204,2318653,16444,2250612,51597,ok,SAT,1648.306
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w3.cnf,pysat:gc4,1,type id = Char ; procedure id ( ) type id = Integer ; begin konšt_boolean + konšt_char := id > - konšt_char + konšt_boolean ; end,27,positive,180,324,95,229,818244,68040,750204,2318653,16444,2250612,51597,ok,SAT,1855.652
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w3.cnf,pysat:m22,1,type id = Char ; procedure id ( ) type id = Integer ; begin konšt_boolean + konšt_char := id > - konšt_char + konšt_boolean ; end,27,positive,180,324,95,229,818244,68040,750204,2318653,16444,2250612,51597,ok,SAT,1428.674
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w3.cnf,pysat:mc,1,type id = Char ; procedure id ( ) type id = Integer ; begin konšt_boolean + konšt_char := id > - konšt_char + konšt_boolean ; end,27,positive,180,324,95,229,818244,68040,750204,2318653,16444,2250612,51597,ok,SAT,1670.072
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w3.cnf,pysat:mgh,1,type id = Char ; procedure id ( ) type id = Integer ; begin konšt_boolean + konšt_char := id > - konšt_char + konšt_boolean ; end,27,positive,180,324,95,229,818244,68040,750204,2318653,16444,2250612,51597,ok,SAT,1446.638
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w3.cnf,pycryptosat,1,type id = Char ; procedure id ( ) type id = Integer ; begin konšt_boolean + konšt_char := id > - konšt_char + konšt_boolean ; end,27,positive,180,324,95,229,818244,68040,750204,2318653,16444,2250612,51597,ok,SAT,1069.210
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w4.cnf,pysat:g3,1,type id = Integer ; procedure id ( ) type id = id ; begin id ( id mod konšt_real ) ; end,23,positive,180,324,95,229,513176,49680,463496,1440169,12490,1390488,37191,ok,SAT,900.009
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w4.cnf,pysat:g4,1,type id = Integer ; procedure id ( ) type id = id ; begin id ( id mod konšt_real ) ; end,23,positive,180,324,95,229,513176,49680,463496,1440169,12490,1390488,37191,ok,SAT,1025.896
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w4.cnf,pysat:gc3,1,type id = Integer ; procedure id ( ) type id = id ; begin id ( id mod konšt_real ) ; end,23,positive,180,324,95,229,513176,49680,463496,1440169,12490,1390488,37191,ok,SAT,1049.496
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w4.cnf,pysat:gc4,1,type id = Integer ; procedure id ( ) type id = id ; begin id ( id mod konšt_real ) ; end,23,positive,180,324,95,229,513176,49680,463496,1440169,12490,1390488,37191,ok,SAT,1240.060
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w4.cnf,pysat:m22,1,type id = Integer ; procedure id ( ) type id = id ; begin id ( id mod konšt_real ) ; end,23,positive,180,324,95,229,513176,49680,463496,1440169,12490,1390488,37191,ok,SAT,823.645
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w4.cnf,pysat:mc,1,type id = Integer ; procedure id ( ) type id = id ; begin id ( id mod konšt_real ) ; end,23,positive,180,324,95,229,513176,49680,463496,1440169,12490,1390488,37191,ok,SAT,1000.630
