dimacs_file,solver,grammar,word,word_length,positive_or_negative,nonterminal_count,rule_count,singular_rule_count,double_rule_count,bool_variable_count,base_bool_variable_count,tseitin_variable_count,clause_count,fixed_value_clause_count,tseitin_clause_count,window_clause_count,status,result,time_ms
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w1.cnf,pysat:g3,1,type id = Char ; procedure id ( ) type id = Real ; var begin id ( konšt_boolean mod konšt_real / konšt_boolean >= konšt_char >= - konšt_char or id - - - konšt_char <= konšt_char mod konšt_boolean < konšt_real / konšt_int ) ; end,45,positive,180,324,95,229,3662520,186300,3476220,10614961,40771,10428660,145530,ok,SAT,6938.325
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w1.cnf,pysat:g4,1,type id = Char ; procedure id ( ) type id = Real ; var begin id ( konšt_boolean mod konšt_real / konšt_boolean >= konšt_char >= - konšt_char or id - - - konšt_char <= konšt_char mod konšt_boolean < konšt_real / konšt_int ) ; end,45,positive,180,324,95,229,3662520,186300,3476220,10614961,40771,10428660,145530,ok,SAT,7059.051
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w1.cnf,pysat:gc3,1,type id = Char ; procedure id ( ) type id = Real ; var begin id ( konšt_boolean mod konšt_real / konšt_boolean >= konšt_char >= - konšt_char or id - - - konšt_char <= konšt_char mod konšt_boolean < konšt_real / konšt_int ) ; end,45,positive,180,324,95,229,3662520,186300,3476220,10614961,40771,10428660,145530,ok,SAT,8312.953
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w1.cnf,pysat:gc4,1,type id = Char ; procedure id ( ) type id = Real ; var begin id ( konšt_boolean mod konšt_real / konšt_boolean >= konšt_char >= - konšt_char or id - - - konšt_char <= konšt_char mod konšt_boolean < konšt_real / konšt_int ) ; end,45,positive,180,324,95,229,3662520,186300,3476220,10614961,40771,10428660,145530,ok,SAT,7863.593
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w1.cnf,pysat:m22,1,type id = Char ; procedure id ( ) type id = Real ; var begin id ( konšt_boolean mod konšt_real / konšt_boolean >= konšt_char >= - konšt_char or id - - - konšt_char <= konšt_char mod konšt_boolean < konšt_real / konšt_int ) ; end,45,positive,180,324,95,229,3662520,186300,3476220,10614961,40771,10428660,145530,ok,SAT,6539.422
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w1.cnf,pysat:mc,1,type id = Char ; procedure id ( ) type id = Real ; var begin id ( konšt_boolean mod konšt_real / konšt_boolean >= konšt_char >= - konšt_char or id - - - konšt_char <= konšt_char mod konšt_boolean < konšt_real / konšt_int ) ; end,45,positive,180,324,95,229,3662520,186300,3476220,10614961,40771,10428660,145530,ok,SAT,7705.676
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w1.cnf,pysat:mgh,1,type id = Char ; procedure id ( ) type id = Real ; var begin id ( konšt_boolean mod konšt_real / konšt_boolean >= konšt_char >= - konšt_char or id - - - konšt_char <= konšt_char mod konšt_boolean < konšt_real / konšt_int ) ; end,45,positive,180,324,95,229,3662520,186300,3476220,10614961,40771,10428660,145530,ok,SAT,6225.124
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w1.cnf,pycryptosat,1,type id = Char ; procedure id ( ) type id = Real ; var begin id ( konšt_boolean mod konšt_real / konšt_boolean >= konšt_char >= - konšt_char or id - - - konšt_char <= konšt_char mod konšt_boolean < konšt_real / konšt_int ) ; end,45,positive,180,324,95,229,3662520,186300,3476220,10614961,40771,10428660,145530,ok,SAT,4531.959
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w2.cnf,pysat:g3,1,type id = Integer ; procedure id ( ) type id = id ; begin konšt_int >= konšt_int + konšt_real <= konšt_char <= ( ( konšt_int or id mod konšt_char <= konšt_real <= konšt_char > konšt_real ) mod konšt_boolean or konšt_boolean + konšt_char ) := konšt_int ; end,48,positive,180,324,95,229,4430776,211680,4219096,12868969,45865,12657288,165816,ok,SAT,9064.551
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w2.cnf,pysat:g4,1,type id = Integer ; procedure id ( ) type id = id ; begin konšt_int >= konšt_int + konšt_real <= konšt_char <= ( ( konšt_int or id mod konšt_char <= konšt_real <= konšt_char > konšt_real ) mod konšt_boolean or konšt_boolean + konšt_char ) := konšt_int ; end,48,positive,180,324,95,229,4430776,211680,4219096,12868969,45865,12657288,165816,ok,SAT,8220.016
