dimacs_file,solver,grammar,word,word_length,positive_or_negative,nonterminal_count,rule_count,singular_rule_count,double_rule_count,bool_variable_count,base_bool_variable_count,tseitin_variable_count,clause_count,fixed_value_clause_count,tseitin_clause_count,window_clause_count,status,result,time_ms
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w1.cnf,pysat:g3,1,a a c c b c c b b c c b b b b b b c b c b c c c,24,positive,4,6,3,3,8100,1200,6900,21901,373,20700,828,ok,SAT,13.722
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w1.cnf,pysat:g4,1,a a c c b c c b b c c b b b b b b c b c b c c c,24,positive,4,6,3,3,8100,1200,6900,21901,373,20700,828,ok,SAT,23.674
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w1.cnf,pysat:gc3,1,a a c c b c c b b c c b b b b b b c b c b c c c,24,positive,4,6,3,3,8100,1200,6900,21901,373,20700,828,ok,SAT,17.308
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w1.cnf,pysat:gc4,1,a a c c b c c b b c c b b b b b b c b c b c c c,24,positive,4,6,3,3,8100,1200,6900,21901,373,20700,828,ok,SAT,18.911
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w1.cnf,pysat:m22,1,a a c c b c c b b c c b b b b b b c b c b c c c,24,positive,4,6,3,3,8100,1200,6900,21901,373,20700,828,ok,SAT,16.640
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w1.cnf,pysat:mc,1,a a c c b c c b b c c b b b b b b c b c b c c c,24,positive,4,6,3,3,8100,1200,6900,21901,373,20700,828,ok,SAT,20.186
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w1.cnf,pysat:mgh,1,a a c c b c c b b c c b b b b b b c b c b c c c,24,positive,4,6,3,3,8100,1200,6900,21901,373,20700,828,ok,SAT,16.287
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w1.cnf,pycryptosat,1,a a c c b c c b b c c b b b b b b c b c b c c c,24,positive,4,6,3,3,8100,1200,6900,21901,373,20700,828,ok,SAT,15.275
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w2.cnf,pysat:g3,1,a a b b b b b c b c b b b c b b b c c b b b c b c b,26,positive,4,6,3,3,10179,1404,8775,27730,430,26325,975,ok,SAT,23.976
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w2.cnf,pysat:g4,1,a a b b b b b c b c b b b c b b b c c b b b c b c b,26,positive,4,6,3,3,10179,1404,8775,27730,430,26325,975,ok,SAT,20.475
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w2.cnf,pysat:gc3,1,a a b b b b b c b c b b b c b b b c c b b b c b c b,26,positive,4,6,3,3,10179,1404,8775,27730,430,26325,975,ok,SAT,35.413
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w2.cnf,pysat:gc4,1,a a b b b b b c b c b b b c b b b c c b b b c b c b,26,positive,4,6,3,3,10179,1404,8775,27730,430,26325,975,ok,SAT,22.105
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w2.cnf,pysat:m22,1,a a b b b b b c b c b b b c b b b c c b b b c b c b,26,positive,4,6,3,3,10179,1404,8775,27730,430,26325,975,ok,SAT,19.740
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w2.cnf,pysat:mc,1,a a b b b b b c b c b b b c b b b c c b b b c b c b,26,positive,4,6,3,3,10179,1404,8775,27730,430,26325,975,ok,SAT,26.506
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w2.cnf,pysat:mgh,1,a a b b b b b c b c b b b c b b b c c b b b c b c b,26,positive,4,6,3,3,10179,1404,8775,27730,430,26325,975,ok,SAT,19.292
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w2.cnf,pycryptosat,1,a a b b b b b c b c b b b c b b b c c b b b c b c b,26,positive,4,6,3,3,10179,1404,8775,27730,430,26325,975,ok,SAT,18.154
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w3.cnf,pysat:g3,1,a a c c b b c c c c b c b b c b b c b b c,21,positive,4,6,3,3,5544,924,4620,14785,295,13860,630,ok,SAT,9.144
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w3.cnf,pysat:g4,1,a a c c b b c c c c b c b b c b b c b b c,21,positive,4,6,3,3,5544,924,4620,14785,295,13860,630,ok,SAT,12.909
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w3.cnf,pysat:gc3,1,a a c c b b c c c c b c b b c b b c b b c,21,positive,4,6,3,3,5544,924,4620,14785,295,13860,630,ok,SAT,14.383
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w3.cnf,pysat:gc4,1,a a c c b b c c c c b c b b c b b c b b c,21,positive,4,6,3,3,5544,924,4620,14785,295,13860,630,ok,SAT,22.603
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w3.cnf,pysat:m22,1,a a c c b b c c c c b c b b c b b c b b c,21,positive,4,6,3,3,5544,924,4620,14785,295,13860,630,ok,SAT,15.932
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w3.cnf,pysat:mc,1,a a c c b b c c c c b c b b c b b c b b c,21,positive,4,6,3,3,5544,924,4620,14785,295,13860,630,ok,SAT,24.350
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w3.cnf,pysat:mgh,1,a a c c b b c c c c b c b b c b b c b b c,21,positive,4,6,3,3,5544,924,4620,14785,295,13860,630,ok,SAT,11.826
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w3.cnf,pycryptosat,1,a a c c b b c c c c b c b b c b b c b b c,21,positive,4,6,3,3,5544,924,4620,14785,295,13860,630,ok,SAT,11.937
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w4.cnf,pysat:g3,1,a a b b b b c b b c b c b b c b c b b c c b c c c b b b b c,30,positive,4,6,3,3,15345,1860,13485,42316,556,40455,1305,ok,SAT,27.197
