dimacs_file,solver,grammar,word,word_length,positive_or_negative,nonterminal_count,rule_count,singular_rule_count,double_rule_count,bool_variable_count,base_bool_variable_count,tseitin_variable_count,clause_count,fixed_value_clause_count,tseitin_clause_count,window_clause_count,status,result,time_ms
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w1.cnf,pysat:g3,1,a b a a a b b b b a a a a b b b a b b a a a b b a a a,27,positive,6,13,5,8,28476,2268,26208,80893,865,78624,1404,ok,SAT,45.049
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w1.cnf,pysat:g4,1,a b a a a b b b b a a a a b b b a b b a a a b b a a a,27,positive,6,13,5,8,28476,2268,26208,80893,865,78624,1404,ok,SAT,57.090
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w1.cnf,pysat:gc3,1,a b a a a b b b b a a a a b b b a b b a a a b b a a a,27,positive,6,13,5,8,28476,2268,26208,80893,865,78624,1404,ok,SAT,67.489
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w1.cnf,pysat:gc4,1,a b a a a b b b b a a a a b b b a b b a a a b b a a a,27,positive,6,13,5,8,28476,2268,26208,80893,865,78624,1404,ok,SAT,58.512
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w1.cnf,pysat:m22,1,a b a a a b b b b a a a a b b b a b b a a a b b a a a,27,positive,6,13,5,8,28476,2268,26208,80893,865,78624,1404,ok,SAT,51.379
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w1.cnf,pysat:mc,1,a b a a a b b b b a a a a b b b a b b a a a b b a a a,27,positive,6,13,5,8,28476,2268,26208,80893,865,78624,1404,ok,SAT,61.780
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w1.cnf,pysat:mgh,1,a b a a a b b b b a a a a b b b a b b a a a b b a a a,27,positive,6,13,5,8,28476,2268,26208,80893,865,78624,1404,ok,SAT,57.937
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w1.cnf,pycryptosat,1,a b a a a b b b b a a a a b b b a b b a a a b b a a a,27,positive,6,13,5,8,28476,2268,26208,80893,865,78624,1404,ok,SAT,36.039
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w2.cnf,pysat:g3,1,a b b a a a a b a b b a a a a b b b b a b a b a b b b b a a,30,positive,6,13,5,8,38750,2790,35960,110671,1051,107880,1740,ok,SAT,59.254
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w2.cnf,pysat:g4,1,a b b a a a a b a b b a a a a b b b b a b a b a b b b b a a,30,positive,6,13,5,8,38750,2790,35960,110671,1051,107880,1740,ok,SAT,69.261
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w2.cnf,pysat:gc3,1,a b b a a a a b a b b a a a a b b b b a b a b a b b b b a a,30,positive,6,13,5,8,38750,2790,35960,110671,1051,107880,1740,ok,SAT,82.024
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w2.cnf,pysat:gc4,1,a b b a a a a b a b b a a a a b b b b a b a b a b b b b a a,30,positive,6,13,5,8,38750,2790,35960,110671,1051,107880,1740,ok,SAT,75.061
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w2.cnf,pysat:m22,1,a b b a a a a b a b b a a a a b b b b a b a b a b b b b a a,30,positive,6,13,5,8,38750,2790,35960,110671,1051,107880,1740,ok,SAT,60.238
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w2.cnf,pysat:mc,1,a b b a a a a b a b b a a a a b b b b a b a b a b b b b a a,30,positive,6,13,5,8,38750,2790,35960,110671,1051,107880,1740,ok,SAT,66.511
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w2.cnf,pysat:mgh,1,a b b a a a a b a b b a a a a b b b b a b a b a b b b b a a,30,positive,6,13,5,8,38750,2790,35960,110671,1051,107880,1740,ok,SAT,57.743
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w2.cnf,pycryptosat,1,a b b a a a a b a b b a a a a b b b b a b a b a b b b b a a,30,positive,6,13,5,8,38750,2790,35960,110671,1051,107880,1740,ok,SAT,44.395
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w3.cnf,pysat:g3,1,a a b b b b b b a a b a b b a b a a b a a b a a,24,positive,6,13,5,8,20200,1800,18400,57001,697,55200,1104,ok,SAT,27.926
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w3.cnf,pysat:g4,1,a a b b b b b b a a b a b b a b a a b a a b a a,24,positive,6,13,5,8,20200,1800,18400,57001,697,55200,1104,ok,SAT,36.811
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w3.cnf,pysat:gc3,1,a a b b b b b b a a b a b b a b a a b a a b a a,24,positive,6,13,5,8,20200,1800,18400,57001,697,55200,1104,ok,SAT,50.030
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w3.cnf,pysat:gc4,1,a a b b b b b b a a b a b b a b a a b a a b a a,24,positive,6,13,5,8,20200,1800,18400,57001,697,55200,1104,ok,SAT,47.226
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w3.cnf,pysat:m22,1,a a b b b b b b a a b a b b a b a a b a a b a a,24,positive,6,13,5,8,20200,1800,18400,57001,697,55200,1104,ok,SAT,34.966
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w3.cnf,pysat:mc,1,a a b b b b b b a a b a b b a b a a b a a b a a,24,positive,6,13,5,8,20200,1800,18400,57001,697,55200,1104,ok,SAT,47.996
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w3.cnf,pysat:mgh,1,a a b b b b b b a a b a b b a b a a b a a b a a,24,positive,6,13,5,8,20200,1800,18400,57001,697,55200,1104,ok,SAT,30.812
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w3.cnf,pycryptosat,1,a a b b b b b b a a b a b b a b a a b a a b a a,24,positive,6,13,5,8,20200,1800,18400,57001,697,55200,1104,ok,SAT,26.045
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w4.cnf,pysat:g3,1,a b a b b a a a a a b a a b b b b a a a a a a,23,positive,6,13,5,8,17848,1656,16192,50233,645,48576,1012,ok,SAT,25.085
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w4.cnf,pysat:g4,1,a b a b b a a a a a b a a b b b b a a a a a a,23,positive,6,13,5,8,17848,1656,16192,50233,645,48576,1012,ok,SAT,29.766
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w4.cnf,pysat:gc3,1,a b a b b a a a a a b a a b b b b a a a a a a,23,positive,6,13,5,8,17848,1656,16192,50233,645,48576,1012,ok,SAT,36.388
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w4.cnf,pysat:gc4,1,a b a b b a a a a a b a a b b b b a a a a a a,23,positive,6,13,5,8,17848,1656,16192,50233,645,48576,1012,ok,SAT,37.577
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w4.cnf,pysat:m22,1,a b a b b a a a a a b a a b b b b a a a a a a,23,positive,6,13,5,8,17848,1656,16192,50233,645,48576,1012,ok,SAT,27.792
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w4.cnf,pysat:mc,1,a b a b b a a a a a b a a b b b b a a a a a a,23,positive,6,13,5,8,17848,1656,16192,50233,645,48576,1012,ok,SAT,29.899
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w4.cnf,pysat:mgh,1,a b a b b a a a a a b a a b b b b a a a a a a,23,positive,6,13,5,8,17848,1656,16192,50233,645,48576,1012,ok,SAT,25.957
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w4.cnf,pycryptosat,1,a b a b b a a a a a b a a b b b b a a a a a a,23,positive,6,13,5,8,17848,1656,16192,50233,645,48576,1012,ok,SAT,23.019
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w5.cnf,pysat:g3,1,b b a a a a a b a a a a a a a a a b b b a,21,positive,6,13,5,8,13706,1386,12320,38347,547,36960,840,ok,SAT,19.762
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w5.cnf,pysat:g4,1,b b a a a a a b a a a a a a a a a b b b a,21,positive,6,13,5,8,13706,1386,12320,38347,547,36960,840,ok,SAT,23.470
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w5.cnf,pysat:gc3,1,b b a a a a a b a a a a a a a a a b b b a,21,positive,6,13,5,8,13706,1386,12320,38347,547,36960,840,ok,SAT,27.785
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w5.cnf,pysat:gc4,1,b b a a a a a b a a a a a a a a a b b b a,21,positive,6,13,5,8,13706,1386,12320,38347,547,36960,840,ok,SAT,37.090
